Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON,Total Daily Entries
Court House,"1,088.00","1,030.00",913.00,403.00,17.0,November,Fall,3451.0
Crystal City,"1,097.00","1,272.00","1,435.00",445.00,17.0,November,Fall,4266.0
Deanwood,332.00,245.00,250.00,67.00,6.0,November,Fall,900.0
Downtown Largo,985.00,429.00,296.00,114.00,9.0,November,Fall,1833.0
Dulles Airport,304.00,537.00,857.00,478.00,4.0,November,Fall,2180.0
Dunn Loring,627.00,387.00,370.00,114.00,3.0,November,Fall,1501.0
Dupont Circle,"1,369.00","2,686.00","3,874.00","1,920.00",85.0,November,Fall,9934.0
East Falls Church,953.00,670.00,507.00,150.00,5.0,November,Fall,2285.0
Eastern Market,751.00,"1,180.00","1,100.00",507.00,20.0,November,Fall,3558.0
Eisenhower Ave,390.00,304.00,336.00,120.00,6.0,November,Fall,1156.0
Farragut North,431.00,"1,777.00","4,781.00","1,340.00",53.0,November,Fall,8382.0
Farragut West,527.00,"1,653.00","4,201.00","1,001.00",37.0,November,Fall,7419.0
Federal Center SW,146.00,489.00,"1,101.00",110.00,8.0,November,Fall,1854.0
Federal Triangle,67.00,731.00,"1,953.00",265.00,13.0,November,Fall,3029.0
Foggy Bottom-GWU,"1,032.00","2,883.00","5,443.00","2,276.00",44.0,November,Fall,11678.0
Forest Glen,474.00,276.00,180.00,54.00,3.0,November,Fall,987.0
Fort Totten,"2,224.00","1,691.00","1,527.00",468.00,16.0,November,Fall,5926.0
Franconia-Springfield,"1,211.00",830.00,532.00,153.00,5.0,November,Fall,2731.0
Friendship Heights,915.00,"1,103.00","1,096.00",371.00,15.0,November,Fall,3500.0
Gallery Place,728.00,"2,490.00","5,057.00","4,324.00",120.0,November,Fall,12719.0
Georgia Ave-Petworth,"1,159.00","1,221.00","1,176.00",378.00,15.0,November,Fall,3949.0
Glenmont,"1,271.00",691.00,417.00,135.00,14.0,November,Fall,2528.0
Greenbelt,"1,178.00",788.00,565.00,171.00,5.0,November,Fall,2707.0
Greensboro,153.00,204.00,363.00,126.00,4.0,November,Fall,850.0
Grosvenor-Strathmore,922.00,658.00,576.00,213.00,18.0,November,Fall,2387.0
Herndon,385.00,223.00,153.00,45.00,1.0,November,Fall,807.0
Huntington,"1,498.00",789.00,481.00,148.00,8.0,November,Fall,2924.0
Hyattsville Crossing,"1,013.00",839.00,703.00,281.00,13.0,November,Fall,2849.0
Innovation Center,266.00,259.00,215.00,55.00,2.0,November,Fall,797.0
Judiciary Square,213.00,799.00,"1,694.00",394.00,15.0,November,Fall,3115.0
King St-Old Town,929.00,"1,070.00","1,041.00",450.00,20.0,November,Fall,3510.0
L'Enfant Plaza,874.00,"1,950.00","4,103.00",977.00,78.0,November,Fall,7982.0
Landover,468.00,172.00,102.00,45.00,4.0,November,Fall,791.0
Loudoun Gateway,114.00,62.00,61.00,18.00,2.0,November,Fall,257.0
McLean,259.00,341.00,753.00,173.00,7.0,November,Fall,1533.0
McPherson Sq,766.00,"1,353.00","2,670.00",797.00,41.0,November,Fall,5627.0
Medical Center,431.00,702.00,"1,376.00",244.00,12.0,November,Fall,2765.0
Metro Center,673.00,"2,427.00","5,803.00","2,365.00",67.0,November,Fall,11335.0
Minnesota Ave,472.00,406.00,364.00,110.00,6.0,November,Fall,1358.0
Morgan Boulevard,377.00,179.00,438.00,47.00,5.0,November,Fall,1046.0
Mt Vernon Sq,604.00,914.00,"1,117.00",619.00,34.0,November,Fall,3288.0
Navy Yard-Ballpark,"1,230.00","1,519.00","2,630.00",883.00,34.0,November,Fall,6296.0
Naylor Road,582.00,290.00,155.00,82.00,5.0,November,Fall,1114.0
New Carrollton,"1,301.00",699.00,488.00,151.00,8.0,November,Fall,2647.0
NoMa-Gallaudet U,"2,250.00","2,641.00","3,220.00","1,186.00",42.0,November,Fall,9339.0
North Bethesda,537.00,488.00,493.00,183.00,9.0,November,Fall,1710.0
Pentagon,"1,507.00","1,279.00","2,471.00",173.00,15.0,November,Fall,5445.0
Pentagon City,"1,661.00","2,228.00","2,544.00","1,003.00",13.0,November,Fall,7449.0
Potomac Ave,861.00,669.00,503.00,197.00,7.0,November,Fall,2237.0
Potomac Yard,464.00,412.00,400.00,122.00,5.0,November,Fall,1403.0
Reston Town Center,243.00,219.00,270.00,88.00,4.0,November,Fall,824.0
Rhode Island Ave,"1,236.00","1,138.00","1,009.00",473.00,15.0,November,Fall,3871.0
Rockville,750.00,589.00,481.00,172.00,6.0,November,Fall,1998.0
Ronald Reagan Washington National Airport,595.00,"1,940.00","1,791.00","1,543.00",23.0,November,Fall,5892.0
Rosslyn,"1,248.00","1,830.00","2,447.00",722.00,29.0,November,Fall,6276.0
Shady Grove,"2,418.00","1,277.00",882.00,238.00,3.0,November,Fall,4818.0
Shaw-Howard U,598.00,866.00,"1,173.00",536.00,34.0,November,Fall,3207.0
Silver Spring,"1,661.00","1,484.00","1,342.00",564.00,20.0,November,Fall,5071.0
Smithsonian,121.00,"1,136.00","2,397.00",306.00,16.0,November,Fall,3976.0
Southern Ave,"1,043.00",500.00,325.00,139.00,8.0,November,Fall,2015.0
Spring Hill,128.00,161.00,234.00,82.00,4.0,November,Fall,609.0
Stadium-Armory,497.00,553.00,541.00,191.00,11.0,November,Fall,1793.0
Suitland,"1,008.00",501.00,320.00,124.00,5.0,November,Fall,1958.0
Takoma,"1,134.00",925.00,841.00,207.00,8.0,November,Fall,3115.0
Tenleytown-AU,621.00,"1,104.00","1,581.00",626.00,18.0,November,Fall,3950.0
Twinbrook,738.00,574.00,483.00,162.00,7.0,November,Fall,1964.0
Tysons,242.00,508.00,"1,031.00",547.00,8.0,November,Fall,2336.0
U Street,793.00,"1,179.00","1,389.00","1,177.00",109.0,November,Fall,4647.0
Union Station,"2,865.00","3,229.00","4,388.00","1,791.00",51.0,November,Fall,12324.0
Van Dorn Street,576.00,355.00,221.00,103.00,7.0,November,Fall,1262.0
Van Ness-UDC,802.00,"1,009.00",918.00,309.00,26.0,November,Fall,3064.0
Vienna,"1,395.00","1,008.00",699.00,225.00,6.0,November,Fall,3333.0
Virginia Sq-GMU,636.00,539.00,512.00,209.00,10.0,November,Fall,1906.0
Waterfront,660.00,905.00,"1,157.00",657.00,29.0,November,Fall,3408.0
West Falls Church,466.00,291.00,170.00,56.00,4.0,November,Fall,987.0
West Hyattsville,"1,086.00",641.00,454.00,108.00,6.0,November,Fall,2295.0
Wheaton,628.00,521.00,466.00,183.00,9.0,November,Fall,1807.0
Wiehle-Reston East,547.00,377.00,345.00,89.00,7.0,November,Fall,1365.0
Woodley Park,806.00,"1,152.00","1,184.00",438.00,26.0,November,Fall,3606.0
Addison Road,584.00,321.00,195.00,95.00,7.0,December,Winter,1202.0
Anacostia,"1,066.00","1,027.00",965.00,269.00,17.0,December,Winter,3344.0
Archives,128.00,913.00,"2,421.00",574.00,16.0,December,Winter,4052.0
Arlington Cemetery,44.00,457.00,202.00,2.00,0.0,December,Winter,705.0
Ashburn,519.00,351.00,216.00,67.00,3.0,December,Winter,1156.0
Ballston-MU,"1,250.00","1,174.00","1,390.00",504.00,33.0,December,Winter,4351.0
Benning Road,651.00,415.00,284.00,96.00,6.0,December,Winter,1452.0
Bethesda,983.00,"1,162.00","1,429.00",527.00,19.0,December,Winter,4120.0
Braddock Road,725.00,501.00,452.00,165.00,23.0,December,Winter,1866.0
Branch Ave,"1,131.00",457.00,283.00,105.00,5.0,December,Winter,1981.0
Brookland-CUA,883.00,989.00,"1,106.00",276.00,14.0,December,Winter,3268.0
Capitol Heights,504.00,263.00,178.00,60.00,7.0,December,Winter,1012.0
Capitol South,342.00,717.00,"1,611.00",349.00,9.0,December,Winter,3028.0
Cheverly,198.00,124.00,91.00,47.00,7.0,December,Winter,467.0
Clarendon,606.00,651.00,717.00,423.00,58.0,December,Winter,2455.0
Cleveland Park,563.00,687.00,563.00,301.00,11.0,December,Winter,2125.0
College Park-U of Md,495.00,521.00,525.00,161.00,8.0,December,Winter,1710.0
Columbia Heights,"1,530.00","2,190.00","2,574.00",933.00,37.0,December,Winter,7264.0
Congress Heights,531.00,389.00,307.00,111.00,6.0,December,Winter,1344.0
Court House,933.00,851.00,794.00,327.00,22.0,December,Winter,2927.0
Crystal City,"1,032.00","1,264.00","1,381.00",414.00,20.0,December,Winter,4111.0
Deanwood,292.00,223.00,201.00,61.00,7.0,December,Winter,784.0
Downtown Largo,895.00,364.00,255.00,113.00,9.0,December,Winter,1636.0
Dulles Airport,370.00,577.00,953.00,519.00,5.0,December,Winter,2424.0
Dunn Loring,549.00,335.00,329.00,97.00,5.0,December,Winter,1315.0
Dupont Circle,"1,243.00","2,582.00","3,773.00","1,845.00",92.0,December,Winter,9535.0
East Falls Church,855.00,622.00,469.00,128.00,8.0,December,Winter,2082.0
Eastern Market,701.00,"1,079.00",994.00,466.00,27.0,December,Winter,3267.0
Eisenhower Ave,384.00,291.00,317.00,111.00,6.0,December,Winter,1109.0
Farragut North,440.00,"1,797.00","4,668.00","1,425.00",61.0,December,Winter,8391.0
Farragut West,396.00,"1,153.00","3,335.00",859.00,32.0,December,Winter,5775.0
Federal Center SW,172.00,583.00,"1,296.00",264.00,15.0,December,Winter,2330.0
Federal Triangle,146.00,750.00,"1,940.00",399.00,22.0,December,Winter,3257.0
Foggy Bottom-GWU,"1,073.00","2,693.00","5,245.00","2,142.00",79.0,December,Winter,11232.0
Forest Glen,445.00,278.00,192.00,52.00,4.0,December,Winter,971.0
Fort Totten,"2,035.00","1,520.00","1,335.00",395.00,23.0,December,Winter,5308.0
Franconia-Springfield,"1,148.00",800.00,548.00,150.00,8.0,December,Winter,2654.0
Friendship Heights,808.00,"1,032.00","1,041.00",350.00,19.0,December,Winter,3250.0
Gallery Place,717.00,"2,905.00","6,185.00","5,397.00",134.0,December,Winter,15338.0
Georgia Ave-Petworth,"1,063.00","1,135.00","1,138.00",349.00,23.0,December,Winter,3708.0
Glenmont,"1,210.00",720.00,419.00,134.00,10.0,December,Winter,2493.0
Greenbelt,"1,122.00",796.00,550.00,162.00,7.0,December,Winter,2637.0
Greensboro,129.00,173.00,319.00,117.00,4.0,December,Winter,742.0
Grosvenor-Strathmore,825.00,632.00,446.00,120.00,9.0,December,Winter,2032.0
Herndon,351.00,213.00,143.00,41.00,2.0,December,Winter,750.0
Huntington,"1,403.00",782.00,481.00,143.00,10.0,December,Winter,2819.0
Hyattsville Crossing,926.00,762.00,688.00,262.00,11.0,December,Winter,2649.0
Innovation Center,230.00,232.00,194.00,56.00,2.0,December,Winter,714.0
Judiciary Square,187.00,694.00,"1,555.00",350.00,18.0,December,Winter,2804.0
King St-Old Town,869.00,"1,038.00",975.00,442.00,61.0,December,Winter,3385.0
L'Enfant Plaza,900.00,"1,979.00","4,194.00",995.00,114.0,December,Winter,8182.0
Landover,423.00,164.00,94.00,41.00,3.0,December,Winter,725.0
Loudoun Gateway,105.00,65.00,58.00,20.00,2.0,December,Winter,250.0
McLean,221.00,280.00,645.00,155.00,7.0,December,Winter,1308.0
McPherson Sq,610.00,961.00,"2,111.00",671.00,41.0,December,Winter,4394.0
Medical Center,265.00,455.00,"1,158.00",180.00,10.0,December,Winter,2068.0
Metro Center,689.00,"2,420.00","5,859.00","2,588.00",108.0,December,Winter,11664.0
Minnesota Ave,426.00,356.00,333.00,105.00,7.0,December,Winter,1227.0
Morgan Boulevard,341.00,171.00,429.00,219.00,78.0,December,Winter,1238.0
Mt Vernon Sq,542.00,"1,003.00","1,395.00",696.00,42.0,December,Winter,3678.0
Navy Yard-Ballpark,"1,124.00","1,415.00","2,119.00",845.00,47.0,December,Winter,5550.0
Naylor Road,510.00,259.00,157.00,74.00,4.0,December,Winter,1004.0
New Carrollton,"1,190.00",656.00,445.00,140.00,6.0,December,Winter,2437.0
NoMa-Gallaudet U,"1,955.00","2,354.00","2,955.00","1,058.00",55.0,December,Winter,8377.0
North Bethesda,494.00,470.00,476.00,175.00,8.0,December,Winter,1623.0
Pentagon,"1,415.00","1,311.00","2,378.00",174.00,10.0,December,Winter,5288.0
Pentagon City,"1,492.00","2,174.00","2,549.00",996.00,15.0,December,Winter,7226.0
Potomac Ave,756.00,560.00,421.00,156.00,8.0,December,Winter,1901.0
Potomac Yard,406.00,378.00,380.00,107.00,7.0,December,Winter,1278.0
Reston Town Center,199.00,184.00,235.00,82.00,4.0,December,Winter,704.0
Rhode Island Ave,"1,193.00","1,190.00","1,017.00",458.00,21.0,December,Winter,3879.0
Rockville,681.00,555.00,462.00,163.00,7.0,December,Winter,1868.0
Ronald Reagan Washington National Airport,598.00,"1,909.00","1,770.00","1,589.00",27.0,December,Winter,5893.0
Rosslyn,"1,069.00","1,513.00","2,068.00",604.00,28.0,December,Winter,5282.0
Shady Grove,"2,239.00","1,306.00",898.00,225.00,9.0,December,Winter,4677.0
Shaw-Howard U,543.00,706.00,996.00,403.00,37.0,December,Winter,2685.0
Silver Spring,"1,552.00","1,401.00","1,299.00",521.00,24.0,December,Winter,4797.0
Smithsonian,124.00,724.00,"1,637.00",210.00,22.0,December,Winter,2717.0
Southern Ave,986.00,477.00,304.00,129.00,7.0,December,Winter,1903.0
Spring Hill,112.00,144.00,192.00,70.00,7.0,December,Winter,525.0
Stadium-Armory,428.00,429.00,464.00,147.00,11.0,December,Winter,1479.0
Suitland,976.00,485.00,343.00,114.00,5.0,December,Winter,1923.0
Takoma,"1,035.00",865.00,787.00,188.00,9.0,December,Winter,2884.0
Tenleytown-AU,551.00,917.00,"1,317.00",448.00,14.0,December,Winter,3247.0
Twinbrook,682.00,563.00,468.00,150.00,5.0,December,Winter,1868.0
Tysons,212.00,453.00,927.00,513.00,11.0,December,Winter,2116.0
U Street,747.00,"1,058.00","1,271.00",969.00,122.0,December,Winter,4167.0
Union Station,"2,764.00","3,147.00","4,298.00","1,800.00",47.0,December,Winter,12056.0
Van Dorn Street,507.00,318.00,212.00,101.00,7.0,December,Winter,1145.0
Van Ness-UDC,691.00,892.00,773.00,232.00,24.0,December,Winter,2612.0
Vienna,"1,243.00",894.00,633.00,184.00,9.0,December,Winter,2963.0
Virginia Sq-GMU,545.00,472.00,468.00,166.00,12.0,December,Winter,1663.0
Waterfront,600.00,855.00,"1,005.00",686.00,41.0,December,Winter,3187.0
West Falls Church,421.00,251.00,163.00,49.00,5.0,December,Winter,889.0
West Hyattsville,"1,001.00",591.00,414.00,98.00,6.0,December,Winter,2110.0
Wheaton,586.00,506.00,471.00,192.00,15.0,December,Winter,1770.0
Wiehle-Reston East,505.00,377.00,323.00,91.00,8.0,December,Winter,1304.0
Woodley Park,700.00,929.00,998.00,662.00,33.0,December,Winter,3322.0
