Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),Time of Week,Total Daily Entries
Landover,640.00,208.00,129.00,60.00,5.0,Weekdays,1042.0
Loudoun Gateway,160.00,64.00,71.00,18.00,1.0,Weekdays,314.0
McLean,359.00,347.00,"1,069.00",202.00,6.0,Weekdays,1983.0
McPherson Sq,"1,092.00","1,515.00","3,703.00","1,022.00",43.0,Weekdays,7375.0
Medical Center,448.00,590.00,"1,820.00",253.00,9.0,Weekdays,3120.0
Metro Center,943.00,"2,586.00","7,494.00","2,683.00",61.0,Weekdays,13767.0
Minnesota Ave,647.00,479.00,477.00,154.00,10.0,Weekdays,1767.0
Morgan Boulevard,547.00,205.00,167.00,76.00,9.0,Weekdays,1004.0
Mt Vernon Sq,774.00,852.00,"1,433.00",737.00,27.0,Weekdays,3823.0
Navy Yard-Ballpark,"1,703.00","1,462.00","2,918.00","2,430.00",48.0,Weekdays,8561.0
Naylor Road,781.00,335.00,207.00,120.00,6.0,Weekdays,1449.0
New Carrollton,"1,861.00",795.00,581.00,196.00,8.0,Weekdays,3441.0
NoMa-Gallaudet U,"3,057.00","2,290.00","3,587.00","1,220.00",32.0,Weekdays,10186.0
North Bethesda,800.00,531.00,602.00,221.00,8.0,Weekdays,2162.0
Pentagon,"2,270.00","1,708.00","3,799.00",272.00,9.0,Weekdays,8058.0
Pentagon City,"2,295.00","2,049.00","2,514.00","1,054.00",12.0,Weekdays,7924.0
Potomac Ave,"1,202.00",671.00,538.00,219.00,7.0,Weekdays,2637.0
Potomac Yard,621.00,364.00,429.00,131.00,6.0,Weekdays,1551.0
Reston Town Center,323.00,206.00,331.00,91.00,3.0,Weekdays,954.0
Rhode Island Ave,"1,696.00","1,253.00","1,120.00",537.00,14.0,Weekdays,4620.0
Rockville,"1,080.00",623.00,568.00,204.00,5.0,Weekdays,2480.0
Ronald Reagan Washington National Airport,679.00,"1,915.00","1,756.00","1,489.00",22.0,Weekdays,5861.0
Rosslyn,"1,773.00","1,771.00","3,033.00",886.00,24.0,Weekdays,7487.0
Shady Grove,"3,465.00","1,267.00",942.00,250.00,6.0,Weekdays,5930.0
Shaw-Howard U,827.00,834.00,"1,349.00",549.00,28.0,Weekdays,3587.0
Silver Spring,"1,814.00","1,118.00","1,180.00",451.00,17.0,Weekdays,4580.0
Smithsonian,199.00,"1,310.00","3,047.00",669.00,19.0,Weekdays,5244.0
