X,Y,NAME,ADDRESS,LINE,TRAININFO_URL,WEB_URL,GIS_ID,MAR_ID,GLOBALID,OBJECTID,CREATOR,CREATED,EDITOR,EDITED,SE_ANNO_CAD_DATA
-8556915.19039228,4706476.84023331,Morgan Boulevard,"300 GARRETT MORGAN BLVD., LANDOVER, MD","blue, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G04|Morgan Boulevard,https://www.wmata.com/rider-guide/stations/morgan-blvd.cfm,MetroStnFullPt_56,,{DBEE6F8C-40E8-4BAF-95BE-6B6B9EB8E332},679,JLAY,2022/11/30 20:32:57+00,JLAY,2024/03/19 19:27:02+00,
-8574212.70160628,4712714.69385198,Georgia Ave-Petworth,"3750 GEORGIA AVENUE NW, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E05|Georgia Ave-Petworth,https://www.wmata.com/rider-guide/stations/georgia-ave.cfm,MetroStnFullPt_57,316437,{410B651B-44E7-447F-9304-D86D700B58D7},680,JLAY,2022/11/30 20:32:57+00,JLAY,2024/03/19 19:27:02+00,
-8573624.46663514,4718246.72360472,Takoma,"327 CEDAR STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B07|Takoma,https://www.wmata.com/rider-guide/stations/takoma.cfm,MetroStnFullPt_58,294822,{DDF7F2C1-C5E0-487C-B715-9CBCA7C05B36},681,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8577563.02557608,4730526.55562299,Glenmont,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B11|Glenmont,https://www.wmata.com/rider-guide/stations/glenmont.cfm,MetroStnFullPt_59,,{79EB246F-D44F-4B85-825A-F2400F42A60D},682,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8577178.93900163,4727049.56008644,Wheaton,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B10|Wheaton,https://www.wmata.com/rider-guide/stations/wheaton.cfm,MetroStnFullPt_60,,{D9987F99-C00F-4B45-912E-FE8B7AD5DE03},683,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8576378.49595161,4723814.9894091,Forest Glen,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B09|Forest Glen,https://www.wmata.com/rider-guide/stations/forest-glen.cfm,MetroStnFullPt_61,,{54992DEC-7A45-41D1-A18F-5C34488DE26C},684,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8575053.93504469,4720806.02739682,Silver Spring,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B08|Silver%20Spring,https://www.wmata.com/rider-guide/stations/silver-spring.cfm,MetroStnFullPt_62,,{A043879B-FDB8-4ED8-B0A1-868CC0D23D58},685,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8570992.60407922,4712110.24594685,Brookland-CUA,"890 MONROE STREET NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B05|Brookland-CUA,https://www.wmata.com/rider-guide/stations/brookland.cfm,MetroStnFullPt_63,316412,{94BB3DA7-228A-4F2C-8E8A-27CBD49E525C},686,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8571846.29045981,4714777.49664398,Fort Totten,"201 GALLOWAY STREET NE, WASHINGTON, DC","red, green","https://www.wmata.com/js/nexttrain/nexttrain.html#B06,E06|Fort Totten",https://www.wmata.com/rider-guide/stations/fort-totten.cfm,MetroStnFullPt_64,316355,{D90DDFC9-78BD-4E0A-8E80-B0EFBC2A216F},687,JLAY,2022/11/30 20:32:57+00,JLAY,2024/03/19 19:27:02+00,
-8566689.79547957,4716715.66388193,Hyattsville Crossing,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E08|Prince%20George%27s%20Plaza,https://www.wmata.com/rider-guide/stations/hyattsville-xing.cfm,MetroStnFullPt_65,,{5866086B-8A11-459A-B1C2-05F5E82D723C},688,JLAY,2022/11/30 20:32:57+00,JLAY,2024/03/19 19:27:02+00,
-8568214.33492576,4715234.62391921,West Hyattsville,"2700 HAMILTON ST., HYATTSVILLE, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#E07|West%20Hyattsville,https://www.wmata.com/rider-guide/stations/west-hyattsville.cfm,MetroStnFullPt_66,,{D4B50126-B2F9-4594-9C87-4D47B5EF5E42},689,JLAY,2022/11/30 20:32:57+00,JLAY,2024/03/19 19:27:02+00,
-8564739.85094908,4706067.89753531,Benning Road,"4500 CENTRAL AVENUE NE, WASHINGTON, DC","blue, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G01|Benning Road,https://www.wmata.com/rider-guide/stations/benning-rd.cfm,MetroStnFullPt_67,316344,{C01836FD-40E3-4F82-96E5-9FB187FFADE3},690,JLAY,2022/11/30 20:32:57+00,JLAY,2024/03/19 19:27:02+00,
-8559813.18734407,4705463.24166375,Addison Road-Seat Pleasant,"100 ADDISON ROAD S., CAPITOL HEIGHTS, MD","blue, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G03|Addison Road-Seat Pleasant,https://www.wmata.com/rider-guide/stations/addison-rd.cfm,MetroStnFullPt_68,,{300B1FC4-3F26-4E1B-8100-449F4FDF0D9B},691,JLAY,2022/11/30 20:32:57+00,JLAY,2024/03/19 19:27:02+00,
-8564393.8605099,4708528.56608581,Deanwood,"4720 MINNESOTA AVENUE NE, WASHINGTON, DC",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D10|Deanwood,https://www.wmata.com/rider-guide/stations/deanwood.cfm,MetroStnFullPt_69,294855,{6061BAEB-8A04-4ADF-9BE1-BB380134CAE7},692,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8589927.28289121,4738865.84338745,Shady Grove,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A15|Shady%20Grove,https://www.wmata.com/rider-guide/stations/shady-grove.cfm,MetroStnFullPt_1,,{CB2ED552-145A-48D5-B75A-381A26F2665B},693,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8587867.64933124,4733758.24795912,Rockville,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A14|Rockville,https://www.wmata.com/rider-guide/stations/rockville.cfm,MetroStnFullPt_2,,{64FD589C-0CAA-4E52-BCF4-D3E26D2E60F4},694,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8585050.44281144,4730624.60226523,Twinbrook,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A13|Twinbrook,https://www.wmata.com/rider-guide/stations/twinbrook.cfm,MetroStnFullPt_3,,{6BF87597-FF6A-4653-98C8-4180660FAAAA},695,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8584161.21202061,4728572.31007086,North Bethesda,"5500 MARINELLI ROAD, ROCKVILLE, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A12|White%20Flint,https://www.wmata.com/rider-guide/stations/north-bethesda.cfm,MetroStnFullPt_4,,{385DF698-2B22-4093-B590-6858BF0EB5B6},696,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8583161.54707628,4725866.08521104,Grosvenor-Strathmore,"10300 ROCKVILLE PIKE, BETHESDA, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A11|Grosvenor-Strathmore,https://www.wmata.com/rider-guide/stations/grosvenor.cfm,MetroStnFullPt_5,,{985A54CE-ADC2-4C63-9213-6EA837AF9D8F},697,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8582393.72830057,4721680.78131054,Medical Center,"8810 ROCKVILLE PIKE, BETHESDA, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A10|Medical Center,https://www.wmata.com/rider-guide/stations/medical-center.cfm,MetroStnFullPt_6,,{339E5342-621E-4364-BE17-C2FD15F9BC13},698,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8582079.46222834,4719437.46196143,Bethesda,"7450 WISCONSIN AVENUE, BETHESDA, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A09|Bethesda,https://www.wmata.com/rider-guide/stations/bethesda.cfm,MetroStnFullPt_7,,{9DBE962E-A573-4AA2-B70A-CB042C8B2DA1},699,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8577197.93870072,4707458.49328263,Foggy Bottom-GWU,"890 23RD STREET NW, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C04|Foggy Bottom-GWU,https://www.wmata.com/rider-guide/stations/foggy-bottom.cfm,MetroStnFullPt_8,316428,{2110D899-622B-4CA0-B263-1AF57B2ECEED},700,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8581300.45186869,4705953.45960563,Court House,"2100 WILSON BLVD, ARLINGTON, VA","orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K01|Court House,https://www.wmata.com/rider-guide/stations/court-house.cfm,MetroStnFullPt_9,,{9CEA453B-9DF3-4B96-AB11-B876AE364823},701,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8582220.27031219,4705457.09422419,Clarendon,"3100 WILSON BLVD, ARLINGTON, VA","orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K02|Clarendon,https://www.wmata.com/rider-guide/stations/clarendon.cfm,MetroStnFullPt_10,,{6D9051DA-B64E-47A9-8EB3-D5A224D3AA21},702,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8589065.18788302,4705349.59568764,East Falls Church,"2001 N. SYCAMORE ST., ARLINGTON, VA","orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K05|East Falls Church,https://www.wmata.com/rider-guide/stations/e-falls-church.cfm,MetroStnFullPt_11,,{1EB4FFA9-A362-4BB0-9BAD-DF185BA1DA1B},703,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8583064.4280534,4704979.63057012,Virginia Square-GMU,"3600 FAIRFAX DRIVE, ARLINGTON, VA","orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#K03|Virginia%20Square-GMU,https://www.wmata.com/rider-guide/stations/virginia-sq.cfm,MetroStnFullPt_12,,{D5FEE399-7F0A-4FE2-8BE7-464D6C1F03EC},704,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
